-1	-1	10
-1	-0.97872	9.7465
-1	-0.95745	9.4966
-1	-0.93617	9.2503
-1	-0.91489	9.0077
-1	-0.89362	8.7687
-1	-0.87234	8.5333
-1	-0.85106	8.3015
-1	-0.82979	8.0733
-1	-0.80851	7.8488
-1	-0.78723	7.6279
-1	-0.76596	7.4106
-1	-0.74468	7.1969
-1	-0.7234	6.9869
-1	-0.70213	6.7804
-1	-0.68085	6.5776
-1	-0.65957	6.3785
-1	-0.6383	6.1829
-1	-0.61702	5.9909
-1	-0.59574	5.8026
-1	-0.57447	5.6179
-1	-0.55319	5.4368
-1	-0.53191	5.2594
-1	-0.51064	5.0856
-1	-0.48936	4.9153
-1	-0.46809	4.7488
-1	-0.44681	4.5858
-1	-0.42553	4.4264
-1	-0.40426	4.2707
-1	-0.38298	4.1186
-1	-0.3617	3.9701
-1	-0.34043	3.8253
-1	-0.31915	3.684
-1	-0.29787	3.5464
-1	-0.2766	3.4124
-1	-0.25532	3.282
-1	-0.23404	3.1553
-1	-0.21277	3.0321
-1	-0.19149	2.9126
-1	-0.17021	2.7967
-1	-0.14894	2.6845
-1	-0.12766	2.5758
-1	-0.10638	2.4708
-1	-0.085106	2.3694
-1	-0.06383	2.2716
-1	-0.042553	2.1775
-1	-0.021277	2.0869
-1	0	2
-1	0.021277	1.9167
-1	0.042553	1.837
-1	0.06383	1.761
-1	0.085106	1.6885
-1	0.10638	1.6197
-1	0.12766	1.5545
-1	0.14894	1.493
-1	0.17021	1.435
-1	0.19149	1.3807
-1	0.21277	1.33
-1	0.23404	1.2829
-1	0.25532	1.2395
-1	0.2766	1.1996
-1	0.29787	1.1634
-1	0.31915	1.1308
-1	0.34043	1.1019
-1	0.3617	1.0765
-1	0.38298	1.0548
-1	0.40426	1.0367
-1	0.42553	1.0222
-1	0.44681	1.0113
-1	0.46809	1.0041
-1	0.48936	1.0005
-1	0.51064	1.0005
-1	0.53191	1.0041
-1	0.55319	1.0113
-1	0.57447	1.0222
-1	0.59574	1.0367
-1	0.61702	1.0548
-1	0.6383	1.0765
-1	0.65957	1.1019
-1	0.68085	1.1308
